label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,0.216991,0.772113,-0.0,0.31072,0.678472,-0.01416,0.358991,0.520108,-0.017875,0.384914,0.404807,-0.023786,0.433486,0.339972,-0.021731,0.29914,0.430374,-0.010199,0.333989,0.370211,-0.035737,0.324429,0.476737,-0.037581,0.301334,0.496194,-0.037763,0.23283,0.433904,-0.020148,0.281065,0.370193,-0.057225,0.280445,0.494569,-0.062201,0.25554,0.50952,-0.059937,0.174767,0.466707,-0.032808,0.218997,0.399632,-0.076985,0.236775,0.522783,-0.059897,0.210669,0.542994,-0.039897,0.118203,0.501129,-0.045339,0.164207,0.456558,-0.074584,0.186476,0.53026,-0.057785,0.166538,0.545637,-0.040068
A,0.21595,0.773522,-0.0,0.309656,0.67938,-0.014373,0.358109,0.521206,-0.017736,0.383262,0.405061,-0.023003,0.431857,0.340776,-0.019823,0.300244,0.431605,-0.011057,0.333433,0.369868,-0.036237,0.32314,0.477589,-0.037069,0.300221,0.494736,-0.036715,0.233188,0.433881,-0.020745,0.28014,0.369884,-0.057005,0.279564,0.49569,-0.060962,0.255419,0.506506,-0.058433,0.174844,0.466703,-0.033089,0.217346,0.399546,-0.076697,0.235514,0.523346,-0.0588,0.209594,0.539402,-0.038716,0.118016,0.500482,-0.045328,0.162093,0.456884,-0.073783,0.184703,0.530103,-0.056464,0.164574,0.542553,-0.038728
A,0.215491,0.777363,-0.0,0.308955,0.679821,-0.017016,0.355769,0.520842,-0.020043,0.380044,0.406444,-0.024558,0.427051,0.342494,-0.02013,0.297312,0.430567,-0.012343,0.32721,0.366958,-0.037643,0.320282,0.474584,-0.038243,0.298446,0.492143,-0.037246,0.230176,0.435206,-0.020463,0.27531,0.372687,-0.055401,0.277764,0.497319,-0.058921,0.254132,0.505953,-0.056141,0.172582,0.468839,-0.031747,0.212792,0.400331,-0.074895,0.234078,0.524104,-0.057677,0.208203,0.540313,-0.038019,0.116438,0.502957,-0.043313,0.160643,0.457993,-0.071669,0.184187,0.530152,-0.054698,0.162831,0.544296,-0.036957
A,0.212016,0.77494,-0.0,0.306694,0.676336,-0.018677,0.353816,0.5182,-0.022137,0.378773,0.40503,-0.026932,0.425998,0.340114,-0.022442,0.295066,0.429466,-0.011259,0.325752,0.365721,-0.038469,0.318981,0.472961,-0.040511,0.296228,0.489962,-0.040103,0.228722,0.433594,-0.018866,0.273112,0.372564,-0.055517,0.27575,0.497603,-0.060109,0.252229,0.504526,-0.057765,0.170903,0.466998,-0.030181,0.21073,0.40121,-0.075138,0.231132,0.524791,-0.05855,0.20471,0.537908,-0.038835,0.114061,0.501307,-0.041938,0.157959,0.459265,-0.071226,0.179999,0.530264,-0.054555,0.156287,0.54082,-0.036808
A,0.207394,0.776113,-1e-06,0.304615,0.678635,-0.018881,0.352779,0.51475,-0.022062,0.378144,0.398677,-0.026009,0.429551,0.338539,-0.020024,0.292197,0.423605,-0.014686,0.326277,0.361205,-0.041357,0.315822,0.473232,-0.042047,0.292651,0.48859,-0.041379,0.221528,0.427824,-0.021808,0.271896,0.367613,-0.059716,0.272672,0.495418,-0.063981,0.248146,0.502413,-0.061345,0.163364,0.463556,-0.03209,0.207616,0.397685,-0.076254,0.228393,0.522832,-0.058623,0.200473,0.536659,-0.038745,0.10919,0.499167,-0.042911,0.155848,0.460684,-0.071151,0.177998,0.532135,-0.054521,0.153019,0.540499,-0.037263
A,0.207797,0.775941,-1e-06,0.305183,0.676135,-0.018228,0.352961,0.512812,-0.021501,0.379422,0.396071,-0.025902,0.433249,0.336315,-0.020697,0.290928,0.423607,-0.012566,0.325235,0.361753,-0.038921,0.314208,0.474582,-0.040455,0.289466,0.489466,-0.040503,0.22032,0.42954,-0.019565,0.271912,0.368897,-0.056739,0.272946,0.497095,-0.061208,0.247307,0.50507,-0.058837,0.162754,0.466571,-0.029764,0.207519,0.397756,-0.073041,0.229144,0.522498,-0.055276,0.199919,0.537978,-0.035341,0.108913,0.50178,-0.040478,0.156252,0.459943,-0.067663,0.179296,0.530513,-0.050643,0.153897,0.54047,-0.033242
A,0.213619,0.779582,-1e-06,0.308608,0.677359,-0.01535,0.353965,0.515435,-0.018006,0.377641,0.400547,-0.022111,0.428113,0.3392,-0.017162,0.291368,0.427507,-0.01294,0.326044,0.366362,-0.038029,0.3165,0.474762,-0.038933,0.291347,0.490513,-0.038926,0.221966,0.432235,-0.021856,0.27044,0.370587,-0.056656,0.272429,0.496233,-0.060208,0.24691,0.505302,-0.058291,0.163933,0.467584,-0.033544,0.206534,0.399242,-0.075323,0.228864,0.522884,-0.057547,0.201334,0.539334,-0.038534,0.108512,0.503906,-0.045469,0.152277,0.458492,-0.072639,0.177509,0.528709,-0.055749,0.156057,0.541323,-0.038919
A,0.212172,0.779029,-0.0,0.307116,0.679969,-0.016601,0.354063,0.518963,-0.020361,0.378944,0.405993,-0.025494,0.426807,0.341685,-0.021894,0.292164,0.427575,-0.015852,0.32589,0.366885,-0.041946,0.317538,0.475572,-0.042586,0.294142,0.492721,-0.042008,0.223387,0.432798,-0.024724,0.272263,0.371704,-0.061809,0.27412,0.49813,-0.065881,0.249221,0.507768,-0.063593,0.165187,0.467847,-0.036282,0.209244,0.400283,-0.080367,0.229543,0.52462,-0.062216,0.202146,0.540821,-0.042255,0.108685,0.503781,-0.048028,0.154217,0.459157,-0.077017,0.178094,0.532244,-0.059572,0.156631,0.546053,-0.041771
A,0.213233,0.777933,-0.0,0.306798,0.681545,-0.016498,0.353342,0.522085,-0.020455,0.378534,0.408026,-0.026117,0.426482,0.344013,-0.0233,0.293704,0.428727,-0.012254,0.326804,0.369519,-0.038566,0.317911,0.476288,-0.040062,0.29507,0.495384,-0.039851,0.226501,0.433792,-0.021187,0.273374,0.371807,-0.059371,0.274381,0.497409,-0.064174,0.2508,0.510997,-0.061608,0.168446,0.467917,-0.03308,0.210986,0.401535,-0.078306,0.230368,0.525511,-0.06098,0.204951,0.544882,-0.040734,0.111288,0.503309,-0.045112,0.15541,0.459592,-0.074843,0.17888,0.532894,-0.058165,0.159956,0.547632,-0.040484
A,0.213169,0.781029,-0.0,0.308765,0.681604,-0.016152,0.35488,0.520157,-0.01903,0.379503,0.406361,-0.023643,0.428556,0.342883,-0.019342,0.294018,0.429939,-0.010995,0.326714,0.36793,-0.037808,0.318548,0.476158,-0.039615,0.295664,0.493893,-0.039387,0.225337,0.434327,-0.019931,0.273374,0.373664,-0.056917,0.274655,0.500286,-0.061351,0.249931,0.50935,-0.058868,0.166892,0.468207,-0.032118,0.210793,0.401728,-0.076733,0.230594,0.52697,-0.059193,0.20334,0.542546,-0.039009,0.110435,0.503697,-0.04452,0.157036,0.459186,-0.073531,0.180087,0.532964,-0.056019,0.157373,0.546401,-0.037763
